model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
tft,10d,125,0.057005923689452245,COMPLETE,64.0,,,0.24516428902248244,42.0,,256.0,36.0,2.2602622140245925e-05,minmax,0 days 00:04:45.284300,0.3608070279949069,2.0,,,,,,,,,,
tft,10d,126,0.07084565442161718,COMPLETE,64.0,,,0.27855700439044334,43.0,,256.0,48.0,3.057757631584429e-05,minmax,0 days 00:05:27.319586,0.37290533410125665,8.0,,,,,,,,,,
tft,10d,127,,PRUNED,64.0,,,0.2946727920095181,42.0,,512.0,48.0,2.0361097593182735e-05,minmax,0 days 00:00:03.216969,0.3601901460372907,2.0,,,,,,,,,,
tft,10d,128,0.05776080159371738,COMPLETE,64.0,,,0.2333170649151799,41.0,,256.0,120.0,3.723290781337388e-05,minmax,0 days 00:07:51.616956,0.3918993543957969,2.0,,,,,,,,,,
tft,10d,129,0.060978168603638194,COMPLETE,64.0,,,0.21744667604736237,43.0,,256.0,48.0,1.6576586686917457e-05,minmax,0 days 00:05:12.963785,0.3575986780806618,2.0,,,,,,,,,,
tft,10d,130,0.0676929863233633,COMPLETE,64.0,,,0.2503896217273812,43.0,,256.0,24.0,1.2611039094933987e-05,minmax,0 days 00:04:19.438526,0.3392679831975319,2.0,,,,,,,,,,
tft,10d,131,0.05809173516863008,COMPLETE,64.0,,,0.26350632827939746,44.0,,256.0,48.0,2.6001824589796537e-05,minmax,0 days 00:05:14.380750,0.32931173688121057,2.0,,,,,,,,,,
tft,10d,132,0.05620626652644105,COMPLETE,64.0,,,0.21016361343443085,44.0,,256.0,48.0,3.4377321675785956e-05,minmax,0 days 00:05:14.619827,0.3213526431606529,2.0,,,,,,,,,,
tft,10d,133,0.05649640711598304,COMPLETE,64.0,,,0.20947601753073958,43.0,,256.0,48.0,3.135503217452768e-05,minmax,0 days 00:05:13.481223,0.34581665671097256,2.0,,,,,,,,,,
tft,10d,134,0.05605384578034768,COMPLETE,64.0,,,0.22480515892394645,42.0,,256.0,48.0,3.69502768996966e-05,minmax,0 days 00:05:13.458804,0.37686838511909,2.0,,,,,,,,,,
tft,10d,135,0.07096400588071825,COMPLETE,64.0,,,0.2351966607446426,42.0,,64.0,48.0,5.937845945911034e-05,minmax,0 days 00:01:23.199325,0.38139557984599787,2.0,,,,,,,,,,
tft,10d,136,0.06578492933760206,COMPLETE,64.0,,,0.22588409967424142,43.0,,256.0,36.0,2.3892685473048797e-05,minmax,0 days 00:04:44.159030,0.36871430761166446,2.0,,,,,,,,,,
tft,10d,137,0.06052795989152958,COMPLETE,64.0,,,0.25489835909014097,42.0,,384.0,48.0,3.888416029353315e-05,minmax,0 days 00:09:13.885916,0.3364703794807161,8.0,,,,,,,,,,
tft,10d,138,0.07149548049716682,COMPLETE,64.0,,,0.24215237057088174,41.0,,128.0,96.0,5.369691034781243e-05,minmax,0 days 00:03:15.627550,0.29913678835069824,2.0,,,,,,,,,,
tft,10d,139,0.05679225205699664,COMPLETE,64.0,,,0.21940264083615452,43.0,,256.0,48.0,2.7766565901916976e-05,minmax,0 days 00:05:10.758051,0.392014160774757,2.0,,,,,,,,,,
tft,10d,140,0.059953481863802505,COMPLETE,64.0,,,0.2706441017056376,41.0,,256.0,72.0,3.723263829932525e-05,minmax,0 days 00:06:04.748635,0.3555583042566594,2.0,,,,,,,,,,
tft,10d,141,0.05672559420917132,COMPLETE,64.0,,,0.20647909311912424,44.0,,256.0,48.0,3.1319255600249085e-05,minmax,0 days 00:05:11.521006,0.31835955595319476,2.0,,,,,,,,,,
tft,10d,142,0.05790393913263794,COMPLETE,64.0,,,0.23008799136250788,43.0,,256.0,48.0,5.0481733550311314e-05,minmax,0 days 00:05:11.458812,0.3312887173076494,2.0,,,,,,,,,,
tft,10d,143,0.056045986932886475,COMPLETE,64.0,,,0.1717561090252066,44.0,,256.0,48.0,3.518382519366037e-05,minmax,0 days 00:05:14.487938,0.37250277436442897,2.0,,,,,,,,,,
tft,10d,144,0.06357819900263992,COMPLETE,64.0,,,0.16691179988571983,43.0,,256.0,48.0,2.7956179481212036e-05,standard,0 days 00:05:12.098252,0.3754037543252719,2.0,,,,,,,,,,
tft,10d,145,0.059140523694650594,COMPLETE,64.0,,,0.28418165818908264,44.0,,256.0,48.0,2.2102224881981942e-05,minmax,0 days 00:05:11.038812,0.3422196967756897,2.0,,,,,,,,,,
tft,10d,146,0.06752589451774904,COMPLETE,64.0,,,0.21685796939722615,42.0,,256.0,48.0,1.8884834101154855e-05,minmax,0 days 00:05:11.200006,0.3703416914095396,2.0,,,,,,,,,,
tft,10d,147,0.055966725021724464,COMPLETE,64.0,,,0.17706137695293678,43.0,,256.0,48.0,3.572351446296161e-05,minmax,0 days 00:05:10.856507,0.3544912636368338,2.0,,,,,,,,,,
tft,10d,148,0.06259074180750104,COMPLETE,64.0,,,0.17736227161319032,43.0,,192.0,36.0,2.515986358564688e-05,minmax,0 days 00:04:42.443298,0.34820614921888143,4.0,,,,,,,,,,
tft,10d,149,0.05720771006493086,COMPLETE,64.0,,,0.1876944429223968,44.0,,256.0,48.0,3.4945057653560296e-05,minmax,0 days 00:05:10.225521,0.3122312123958369,1.0,,,,,,,,,,
tft,15d,0,0.09932046354164065,COMPLETE,32.0,,,0.3005575058716044,37.0,,64.0,120.0,0.001331121608073689,minmax,0 days 00:02:23.562623,0.023225206359998862,1.0,,,,,,,,,,
tft,15d,1,0.06275344883519024,COMPLETE,128.0,,,0.34211651325607845,39.0,,192.0,120.0,0.00020914981329035596,standard,0 days 00:09:11.729945,0.16266516538163217,1.0,,,,,,,,,,
tft,15d,2,0.06393485318352445,COMPLETE,128.0,,,0.03727532183988541,34.0,,96.0,120.0,0.009133995846860976,robust,0 days 00:04:25.873715,0.23610746258097465,8.0,,,,,,,,,,
tft,15d,3,0.08196179537913262,COMPLETE,32.0,,,0.012709563372047594,40.0,,192.0,12.0,2.1070472806578224e-05,standard,0 days 00:05:46.952872,0.26967112095782536,8.0,,,,,,,,,,
tft,15d,4,0.05703685724984604,COMPLETE,16.0,,,0.0034760652655953517,34.0,,64.0,96.0,0.0003405978543532997,standard,0 days 00:02:17.948992,0.13932323211830572,2.0,,,,,,,,,,
tft,15d,5,0.058333638350533124,COMPLETE,64.0,,,0.11881877199619983,40.0,,192.0,24.0,0.0015298506868937445,standard,0 days 00:06:15.242466,0.06876047207299663,8.0,,,,,,,,,,
tft,15d,6,0.08479634319897489,COMPLETE,64.0,,,0.26482528917800324,39.0,,96.0,48.0,5.3156560571583175e-05,minmax,0 days 00:02:42.517156,0.08040402570874933,4.0,,,,,,,,,,
tft,15d,7,,PRUNED,16.0,,,0.32481644952360733,33.0,,512.0,36.0,0.0035291509251299,standard,0 days 00:00:01.237824,0.08855533970352447,1.0,,,,,,,,,,
